address_id,address_query,address_query_length
1,133 wilton road wilton wellington,33
2,1 ghuznee st te aro wellington 6011,35
3,40 severne st springlands blemnheim,35
4,hahaha,6
5,"14 Espin Crescent, Karori, Wellington 6012",42
6,"Level 7, 45 Johnston Street, Wellington Central, Wellington 6011",64
7,"Level 1, 4 Kingston Street, Auckland Central, Auckland 1010",59
8,"Suite 2, Level 6, Hope Gibbons Building, 7 Dixon Street, Te Aro, Wellington 6011",80
9,"Suite 1203, Sentinel Apartments, 3 Northcroft Street, Takapuna, Auckland 0622",77
10,"95 Opiki Road, Opiki 4474",25
11,"Unit 2, 442 Conway Flat Road, Conway Flat 7384",46
12,"952 Opiki Road, Opiki 4474",26
13,"10 Koi Road, Waikoikoi 9771",27
14,"952 Opiki Road, RD 4, Palmerston North 4474",43
15,"10 Koi Road, RD 1, Gore 9771",28
16,"Unit 51, 2 Tyrone Street, RD 3, Ranfurly 9397",45
17,"11 Ymca Road, Mahia 4198",24
18,"PO Box 5545, Terrace End, Palmerston North 4441",47
19,"Private Bag 5, Nelson Mail Centre, Nelson 7042",46
20,"CMB 5, RD 2, Picton 7282",24
21,"Counter Delivery, Devonport Postshop, Auckland 0744",51
22,"80 Corsair Drive, Wigram, Christchurch 8042",43
23,"Level 2, 4 Bond Street, Te Aro, Wellington 6011",47
24,"125 Carrington Road, Point Chevalier, Auckland 1026",51